Team,Attendance,Temp,Win%,OpWin%,Weekend,Promotion
Reds,41913,56,407,543,0,1
Reds,19745,44,407,543,0,0
Reds,16448,41,407,543,0,0
Reds,17123,48,667,333,1,1
Reds,18176,44,500,500,1,1
Reds,17549,65,400,600,1,0
Reds,15853,83,583,417,0,1
Reds,14527,81,538,462,0,0
Reds,15848,83,500,500,0,1
Reds,14518,60,556,316,0,0
Reds,13004,72,579,300,0,1
Reds,14416,59,600,286,0,0
Reds,28341,61,619,619,1,1
Reds,22616,56,636,591,1,0
Reds,23426,76,652,565,1,0
Reds,12867,65,567,290,0,1
Reds,16167,77,581,281,0,1
Reds,15693,79,594,273,0,1
Reds,29008,65,606,441,1,1
Reds,25006,72,588,457,1,1
Reds,20622,78,600,444,1,1
Reds,16841,53,591,523,0,0
Reds,20314,65,600,511,0,0
Reds,23134,74,609,500,0,1
Reds,38777,85,604,537,1,1
Reds,27080,86,593,545,1,1
Reds,26470,81,582,554,1,1
Reds,19189,88,589,554,0,0
Reds,23102,63,579,561,0,1
Reds,30820,74,563,477,1,1
Reds,31419,74,569,470,1,1
Reds,29532,75,576,463,1,1
Reds,26654,80,567,603,0,0
Reds,27680,87,559,609,0,0
Reds,27908,90,551,614,0,0
Reds,26101,91,543,563,1,1
Reds,27243,89,535,569,1,0
Reds,23961,89,528,575,1,1
Reds,32233,90,538,456,0,0
Reds,19562,94,543,450,0,0
Reds,19488,94,537,457,0,0
Reds,16622,95,530,369,1,0
Reds,23369,92,524,376,1,1
Reds,26165,86,529,372,1,1
Reds,19778,89,535,368,1,1
Reds,28213,92,526,505,1,1
Reds,40168,76,521,510,1,1
Reds,27309,90,521,510,1,1
Reds,18398,92,520,469,0,0
Reds,19884,74,515,475,0,0
Reds,24910,76,525,465,0,1
Reds,23804,88,519,562,0,0
Reds,23258,93,524,557,0,0
Reds,27950,90,519,561,0,1
Reds,22708,71,513,421,1,1
Reds,40844,92,518,417,1,1
Reds,23657,91,522,414,1,1
Reds,20320,86,521,622,0,0
Reds,25813,87,517,625,0,0
Reds,22691,88,513,525,1,1
Reds,25967,87,517,521,1,0
Reds,20117,82,512,525,1,1
Reds,16660,82,516,520,0,1
Reds,19570,85,496,555,0,1
Reds,19570,85,496,555,0,1
Reds,17354,82,496,554,0,0
Reds,20503,82,492,557,0,1
Reds,16218,85,496,346,1,1
Reds,21288,88,493,351,1,0
Reds,20194,87,489,356,1,1
Reds,13434,95,486,441,0,0
Reds,13153,94,490,438,0,0
Reds,14514,79,493,434,0,1
Reds,16918,79,487,428,0,0
Reds,21791,87,490,425,1,1
Reds,24292,84,490,426,1,0
Reds,22201,81,493,423,1,1
Reds,36940,77,490,490,1,1
Reds,40804,77,488,492,1,1
Reds,40964,74,484,497,1,1
